title,genres_clean,main_cast,director,vote_average,popularity,overview,clean_title,clean_overview,clean_cast,clean_director
I Am Love,Drama Romance,Tilda Swinton Flavio Parenti Edoardo Gabbriellini Alba Rohrwacher Gabriele Ferzetti,Luca Guadagnino,6.9,5.355763,"Emma left Russia to live with her husband in Italy. Now a member of a powerful industrial family, she is the respected mother of three, but feels unfulfilled. One day, Antonio, a talented chef and her son's friend, makes her senses kindle.",i am love,emma left russia live husband italy member powerful industrial family respected mother three feel unfulfilled one day antonio talented chef son friend make sens kindle,tilda swinton flavio parenti edoardo gabbriellini alba rohrwacher gabriele ferzetti,luca guadagnino
Atlas Shrugged Part II,Drama Science Fiction Mystery,Samantha Mathis Jason Beghe Esai Morales Patrick Fabian Kim Rhodes,John Putch,5.4,4.725357,"The global economy is on the brink of collapse. Brilliant creators, from artists to industrialists, continue to mysteriously disappear. Unemployment has risen to 24%. Gas is now $42 per gallon.  Dagny Taggart, Vice President in Charge of Operations for Taggart Transcontinental, has discovered what may very well be the answer to the mounting energy crisis - found abandoned amongst ruins, a miraculous motor that could seemingly power the World.  But, the motor is dead... there is no one left to decipher its secret... and, someone is watching.  Itï¿½ï¿½ï¿½s a race against the clock to find the inventor and stop the destroyer before the motor of the World is stopped for good.  A motor that would power the World. A World whose motor would be stopped.  Who is John",atlas shrugged part ii,global economy brink collapse brilliant creator artist industrialist continue mysteriously disappear unemployment risen 24 gas 42 per gallon dagny taggart vice president charge operation taggart transcontinental discovered may well answer mounting energy crisis found abandoned amongst ruin miraculous motor could seemingly power world motor dead one left decipher secret someone watching race clock find inventor stop destroyer motor world stopped good motor would power world world whose motor would stopped john,samantha mathis jason beghe esai morales patrick fabian kim rhodes,john putch
Romeo Is Bleeding,Action Crime Drama Thriller,Gary Oldman Lena Olin Annabella Sciorra Juliette Lewis Roy Scheider,Peter Medak,5.7,4.850402,A corrupt cop gets in over his head when he tries to assassinate a beautiful Russian hit-woman.,romeo is bleeding,corrupt cop get head try assassinate beautiful russian hit woman,gary oldman lena olin annabella sciorra juliette lewis roy scheider,peter medak
The Limey,Action Crime Drama Mystery Thriller,Terence Stamp Lesley Ann Warren Luis Guzmán Barry Newman Joe Dallesandro,Steven Soderbergh,6.6,8.902102,"The Limey follows Wilson (Terence Stamp), a tough English ex-con who travels to Los Angeles to avenge his daughter's death. Upon arrival, Wilson goes to task battling Valentine (Peter Fonda) and an army of L.A.'s toughest criminals, hoping to find clues and piece together what happened. After surviving a near-death beating, getting thrown from a building and being chased down a dangerous mountain road, the Englishman decides to dole out some bodily harm of his own.",the limey,limey follows wilson terence stamp tough english ex con travel los angeles avenge daughter death upon arrival wilson go task battling valentine peter fonda army l toughest criminal hoping find clue piece together happened surviving near death beating getting thrown building chased dangerous mountain road englishman decides dole bodily harm,terence stamp lesley ann warren luis guzm n barry newman joe dallesandro,steven soderbergh
Crash,Drama,Sandra Bullock Don Cheadle Matt Dillon Michael Peña Jennifer Esposito,Paul Haggis,7.2,28.223163,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption.",crash,los angeles citizen vastly separate life collide interweaving story race loss redemption,sandra bullock don cheadle matt dillon michael pe a jennifer esposito,paul haggis
The House of Mirth,Drama Romance,Gillian Anderson Dan Aykroyd Eleanor Bron Terry Kinney Anthony LaPaglia,Terence Davies,6.4,3.007816,A woman risks losing her chance of happiness with the only man she has ever loved.,the house of mirth,woman risk losing chance happiness man ever loved,gillian anderson dan aykroyd eleanor bron terry kinney anthony lapaglia,terence davies
Malone,Action Thriller,Burt Reynolds Cliff Robertson Kenneth McMillan Cynthia Gibb Scott Wilson,Harley Cokeliss,6.8,1.610132,"Erstwhile C.I.A. assassin Richard Malone hopes for a tranquil retirement in the placid Pacific Northwest, but what he gets is a rumble with a right-wing extremist plotting a secret revolution. Adapted from the novel ""Shotgun,"" by William Wingate.",malone,erstwhile c assassin richard malone hope tranquil retirement placid pacific northwest get rumble right wing extremist plotting secret revolution adapted novel shotgun william wingate,burt reynolds cliff robertson kenneth mcmillan cynthia gibb scott wilson,harley cokeliss
Peaceful Warrior,Drama Romance,Scott Mechlowicz Nick Nolte Amy Smart Tim DeKay Ashton Holmes,Victor Salva,7.3,8.326131,A chance encounter with a stranger changes the life of a college gymnast.,peaceful warrior,chance encounter stranger change life college gymnast,scott mechlowicz nick nolte amy smart tim dekay ashton holmes,victor salva
Bucky Larson: Born to Be a Star,Comedy,Nick Swardson Christina Ricci Stephen Dorff Don Johnson Ido Mosseri,Tom Brady,4.4,3.919057,A kid from the Midwest moves out to Hollywood in order to follow in his parents footsteps -- and become a porn star.,bucky larson  born to be a star,kid midwest move hollywood order follow parent footstep become porn star,nick swardson christina ricci stephen dorff don johnson ido mosseri,tom brady
Bamboozled,Comedy Drama,Damon Wayans Savion Glover Tommy Davidson Jada Pinkett Smith Michael Rapaport,Spike Lee,6.3,2.23411,"TV producer Pierre Delacroix (Damon Wayans) becomes frustrated when network brass reject his sitcom idea. Hoping to get fired, Delacroix pitches the worst idea he can think of: a minstrel show. The network not only airs it, but it incredibly becomes a smash hit. Michael Rapaport co-stars in this searing satire.",bamboozled,tv producer pierre delacroix damon wayans becomes frustrated network brass reject sitcom idea hoping get fired delacroix pitch worst idea think minstrel show network air incredibly becomes smash hit michael rapaport co star searing satire,damon wayans savion glover tommy davidson jada pinkett smith michael rapaport,spike lee
The Forest,Horror Thriller,Natalie Dormer Taylor Kinney Yukiyoshi Ozawa Eoin Macken Rina Takasaki,Jason Zada,4.8,19.865989,"Set in the Aokigahara Forest, a real-life place in Japan where people go to end their lives. Against this backdrop, a young American woman comes in search of her twin sister, who has mysteriously disappeared.",the forest,set aokigahara forest real life place japan people go end life backdrop young american woman come search twin sister mysteriously disappeared,natalie dormer taylor kinney yukiyoshi ozawa eoin macken rina takasaki,jason zada
Sphinx,Adventure Mystery Thriller,Lesley-Anne Down Frank Langella Maurice Ronet John Gielgud Vic Tablian,Franklin J. Schaffner,6.0,0.310513,"Egyptologist Erica Baron finds more than she bargained for during her long-planned trip to The Land of the Pharoahs - murder, theft, betrayal, love, and a mummy's curse!",sphinx,egyptologist erica baron find bargained long planned trip land pharoahs murder theft betrayal love mummy curse,lesley anne down frank langella maurice ronet john gielgud vic tablian,franklin j  schaffner
While We're Young,Comedy Drama Mystery,Ben Stiller Naomi Watts Adam Driver Amanda Seyfried Charles Grodin,Noah Baumbach,5.8,19.263477,An uptight documentary filmmaker and his wife find their lives loosened up a bit after befriending a free-spirited younger couple.,while we re young,uptight documentary filmmaker wife find life loosened bit befriending free spirited younger couple,ben stiller naomi watts adam driver amanda seyfried charles grodin,noah baumbach
A Better Life,Drama,Demián Bichir José Julián Chelsea Rendon Dolores Heredia Joaquín Cosio,Chris Weitz,7.0,4.123533,A gardener in East L.A. struggles to keep his son away from gangs and immigration agents while traveling across town to perform landscaping work for the city's wealthy landowners.,a better life,gardener east l struggle keep son away gang immigration agent traveling across town perform landscaping work city wealthy landowner,demi n bichir jos  juli n chelsea rendon dolores heredia joaqu n cosio,chris weitz
Spider,Drama Mystery Thriller,Ralph Fiennes Miranda Richardson Gabriel Byrne Lynn Redgrave John Neville,David Cronenberg,6.4,6.948401,"A mentally disturbed man takes residence in a halfway house. His mind gradually slips back into the realm created by his illness, where he replays a key part of his childhood.",spider,mentally disturbed man take residence halfway house mind gradually slip back realm created illness replay key part childhood,ralph fiennes miranda richardson gabriel byrne lynn redgrave john neville,david cronenberg
Gun Shy,Action Comedy Romance Thriller,Sandra Bullock Liam Neeson Oliver Platt José Zúñiga Michael DeLorenzo,Eric Blakeney,5.4,3.988432,"Legendary undercover DEA agent Charlie Mayough has suddenly lost his nerves of steel. On the verge of a career-induced mental breakdown, and in complete fear of trigger-happy Mafia leader Fulvio Nesstra, Charlie seeks psychiatric help and finds himself relying on the support of an unstable therapy group and nurse Judy just to get through his work.",gun shy,legendary undercover dea agent charlie mayough suddenly lost nerve steel verge career induced mental breakdown complete fear trigger happy mafia leader fulvio nesstra charlie seek psychiatric help find relying support unstable therapy group nurse judy get work,sandra bullock liam neeson oliver platt jos  z  iga michael delorenzo,eric blakeney
Nicholas Nickleby,Adventure Drama Action Family,Charlie Hunnam Nathan Lane Jim Broadbent Christopher Plummer Jamie Bell,Douglas McGrath,6.8,5.099923,"The Charles Dickens story of Nicholas Nickleby, a young boy in search of a better life for his recently torn-apart family. A young compassionate man struggles to save his family and friends from the abusive exploitation of his coldheartedly grasping uncle.",nicholas nickleby,charles dickens story nicholas nickleby young boy search better life recently torn apart family young compassionate man struggle save family friend abusive exploitation coldheartedly grasping uncle,charlie hunnam nathan lane jim broadbent christopher plummer jamie bell,douglas mcgrath
The Iceman,Thriller Crime Drama,Michael Shannon Winona Ryder Ray Liotta Chris Evans David Schwimmer,Ariel Vromen,6.4,19.494703,"The true story of Richard Kuklinski, the notorious contract killer and family man.",the iceman,true story richard kuklinski notorious contract killer family man,michael shannon winona ryder ray liotta chris evans david schwimmer,ariel vromen
Krrish,Action Science Fiction,Hrithik Roshan Naseeruddin Shah Priyanka Chopra Rekha Sharat Saxena,Rakesh Roshan,5.5,3.759988,"Krishna (Roshan) is born with magical powers - a legacy from his father. Priya (Chopra) comes into his life and becomes his world. When she beckons him to Singapore, he follows. In Singapore, Dr. Siddhant Arya (Shah), the megalomaniac scientist is on the verge of changing the future forever. Only one man stands between Dr. Siddharth Arya and his destructive dreams. To block his ruthless ambitions -- Krishna must become Krrish.",krrish,krishna roshan born magical power legacy father priya chopra come life becomes world beckons singapore follows singapore dr siddhant arya shah megalomaniac scientist verge changing future forever one man stand dr siddharth arya destructive dream block ruthless ambition krishna must become krrish,hrithik roshan naseeruddin shah priyanka chopra rekha sharat saxena,rakesh roshan
Cecil B. Demented,Thriller Comedy Crime,Melanie Griffith Stephen Dorff Alicia Witt Adrian Grenier Lawrence Gilliard Jr.,John Waters,6.2,4.176066,An insane independent film director and his renegade group of teenage film makers kidnap an A-list Hollywood actress and force her to star in their underground film.,cecil b  demented,insane independent film director renegade group teenage film maker kidnap list hollywood actress force star underground film,melanie griffith stephen dorff alicia witt adrian grenier lawrence gilliard jr ,john waters
Killer Joe,Crime Drama Thriller,Matthew McConaughey Emile Hirsch Thomas Haden Church Gina Gershon Juno Temple,William Friedkin,6.5,16.436178,A cop (Matthew McConaughey) who moonlights as a hit man agrees to kill the hated mother of a desperate drug dealer (Emile Hirsch) in exchange for a tumble with the young man's virginal sister (Juno Temple).,killer joe,cop matthew mcconaughey moonlight hit man agrees kill hated mother desperate drug dealer emile hirsch exchange tumble young man virginal sister juno temple,matthew mcconaughey emile hirsch thomas haden church gina gershon juno temple,william friedkin
The Joneses,Comedy Drama,David Duchovny Demi Moore Amber Heard Benjamin Hollingsworth Lauren Hutton,Derrick Borte,6.1,14.979375,"A seemingly perfect family moves into a suburban neighborhood, but when it comes to the truth as to why they're living there, they don't exactly come clean with their neighbors.",the joneses,seemingly perfect family move suburban neighborhood come truth living exactly come clean neighbor,david duchovny demi moore amber heard benjamin hollingsworth lauren hutton,derrick borte
Owning Mahowny,Crime Drama Thriller,Philip Seymour Hoffman Minnie Driver John Hurt Maury Chaykin Ian Tracey,Richard Kwietniowski,6.8,8.045488,"Dan Mahowny was a rising star at the Canadian Imperial Bank of Commerce. At twenty-four he was assistant manager of a major branch in the heart of Toronto's financial district. To his colleagues he was a workaholic. To his customers, he was astute, decisive and helpful. To his friends, he was a quiet, but humorous man who enjoyed watching sports on television. To his girlfriend, he was shy but engaging. None of them knew the other side of Dan Mahowny--the side that executed the largest single-handed bank fraud in Canadian history, grossing over $10 million in eighteen months to feed his gambling obsession.",owning mahowny,dan mahowny rising star canadian imperial bank commerce twenty four assistant manager major branch heart toronto financial district colleague workaholic customer astute decisive helpful friend quiet humorous man enjoyed watching sport television girlfriend shy engaging none knew side dan mahowny side executed largest single handed bank fraud canadian history grossing 10 million eighteen month feed gambling obsession,philip seymour hoffman minnie driver john hurt maury chaykin ian tracey,richard kwietniowski
The Brothers Solomon,Comedy,Will Arnett Will Forte Kristen Wiig Chi McBride Lee Majors,Bob Odenkirk,4.9,8.312153,"A pair of well-meaning, but socially inept brothers try to find their perfect mates in order to provide their dying father with a grandchild.",the brothers solomon,pair well meaning socially inept brother try find perfect mate order provide dying father grandchild,will arnett will forte kristen wiig chi mcbride lee majors,bob odenkirk
My Blueberry Nights,Drama Romance,Norah Jones Jude Law Natalie Portman David Strathairn Rachel Weisz,Wong Kar-wai,6.0,10.733761,"Elizabeth has just been through a particularly nasty breakup, and now she's ready to leave her friends and memories behind as she chases her dreams across the country. In order to support herself on her journey, Elizabeth picks up a series of waitress jobs along the way. As Elizabeth crosses paths with a series of lost souls.",my blueberry nights,elizabeth particularly nasty breakup ready leave friend memory behind chase dream across country order support journey elizabeth pick series waitress job along way elizabeth cross path series lost soul,norah jones jude law natalie portman david strathairn rachel weisz,wong kar wai
Illuminata,Drama,John Turturro Christopher Walken Susan Sarandon Rufus Sewell Beverly D'Angelo,John Turturro,6.3,0.111313,"It's the start of the 20th century, and Tuccio, resident playwright of a theatre repertory company offers the owners of the company his new play, ""Illuminata"". They reject it, saying it's not finished, and intrigue starts that involves influential critic Bevalaqua, theatre star Celimene, young lead actors and other theatre residents",illuminata,start 20th century tuccio resident playwright theatre repertory company offer owner company new play illuminata reject saying finished intrigue start involves influential critic bevalaqua theatre star celimene young lead actor theatre resident,john turturro christopher walken susan sarandon rufus sewell beverly d angelo,john turturro
Swept Away,Comedy Romance,Madonna Adriano Giannini Bruce Greenwood Elizabeth Banks Michael Beattie,Guy Ritchie,4.8,4.570043,"Stranded and alone on a desert island during a cruise, a spoiled rich woman and a deckhand fall in love and make a date to reunite after their rescue.",swept away,stranded alone desert island cruise spoiled rich woman deckhand fall love make date reunite rescue,madonna adriano giannini bruce greenwood elizabeth banks michael beattie,guy ritchie
"War, Inc.",Action Adventure Comedy Thriller,John Cusack Hilary Duff Marisa Tomei Joan Cusack Dan Aykroyd,Joshua Seftel,5.6,6.265659,"War Inc. is set in the future, when the fictional desert country of Turaqistan is torn by a riot after a private corporation, Tamerlane, owned by the former Vice President of the United States, has taken over the whole country. Brand Hauser, a hit man who suppresses his emotions by gobbling down hot sauce, is hired by the corporation's head to kill the CEO of their competitors.",war  inc ,war inc set future fictional desert country turaqistan torn riot private corporation tamerlane owned former vice president united state taken whole country brand hauser hit man suppresses emotion gobbling hot sauce hired corporation head kill ceo competitor,john cusack hilary duff marisa tomei joan cusack dan aykroyd,joshua seftel
Shaolin Soccer,Action Comedy,Stephen Chow Ng Man-Tat Patrick Tse Yin Zhao Wei Wong Yat-Fei,Stephen Chow,6.6,17.54768,A young Shaolin follower reunites with his discouraged brothers to form a soccer team using their martial art skills to their advantage.,shaolin soccer,young shaolin follower reunites discouraged brother form soccer team using martial art skill advantage,stephen chow ng man tat patrick tse yin zhao wei wong yat fei,stephen chow
The Brown Bunny,Drama,Vincent Gallo Chloë Sevigny Cheryl Tiegs Elizabeth Blake Anna Vareschi,Vincent Gallo,5.5,3.412162,"Bud Clay races motorcycles in the 250cc Formula II class of road racing. After a race in New Hampshire, he has five days to get to his next race in California. During his road trip, he is haunted by memories of the last time he saw Daisy, his true love.",the brown bunny,bud clay race motorcycle 250cc formula ii class road racing race new hampshire five day get next race california road trip haunted memory last time saw daisy true love,vincent gallo chlo  sevigny cheryl tiegs elizabeth blake anna vareschi,vincent gallo
The Swindle,Comedy Crime Thriller,Michel Serrault Isabelle Huppert François Cluzet Jean-François Balmer,Claude Chabrol,6.4,0.627964,"Betty and Victor are a pair of scam artists. One day Betty brings in Maurice, a treasurer of a multinational company. Maurice is due to transfer 5 millions francs out of Switzerland, and Betty is convinced he plans to steal that money.",the swindle,betty victor pair scam artist one day betty brings maurice treasurer multinational company maurice due transfer 5 million franc switzerland betty convinced plan steal money,michel serrault isabelle huppert fran ois cluzet jean fran ois balmer,claude chabrol
Rosewater,Drama,Gael García Bernal Shohreh Aghdashloo Jason Jones Haluk Bilginer Nasser Faris,Jon Stewart,6.5,5.75555,"In 2009, Iranian Canadian journalist Maziar Bahari was covering Iran's volatile elections for Newsweek. One of the few reporters living in the country with access to US media, he made an appearance on The Daily Show with Jon Stewart, in a taped interview with comedian Jason Jones. The interview was intended as satire, but if the Tehran authorities got the joke they didn't like it - and it would quickly came back to haunt Bahari when he was rousted from his family home and thrown into prison. Making his directorial debut, Jon Stewart tells the tale of Bahari's months-long imprisonment and interrogation in this powerful and affecting docudrama featuring a potent and performance by Gael Garcï¿½ï¿½a Bernal recounting Bahari's efforts to maintain his hope and his sanity in the face of isolation and persecution-through memories of his family, recollections of the music he loves, and thoughts of his wife and unborn ch",rosewater,2009 iranian canadian journalist maziar bahari covering iran volatile election newsweek one reporter living country access u medium made appearance daily show jon stewart taped interview comedian jason jones interview intended satire tehran authority got joke like would quickly came back haunt bahari rousted family home thrown prison making directorial debut jon stewart tell tale bahari month long imprisonment interrogation powerful affecting docudrama featuring potent performance gael garc bernal recounting bahari effort maintain hope sanity face isolation persecution memory family recollection music love thought wife unborn ch,gael garc a bernal shohreh aghdashloo jason jones haluk bilginer nasser faris,jon stewart
The Chambermaid on the Titanic,Drama,Olivier Martinez Aitana Sánchez-Gijón Romane Bohringer Didier Bezace,Bigas Luna,5.3,1.031142,"Horty, a French foundry worker, wins a contest and is sent to see the sailing of the Titanic. In England, Marie, saying she is a chambermaid on the Titanic and cannot get a room, asks to share his room. They do, chastely; when he awakens, she is gone, but he sees her at the sailing and gets a photo of her. When he returns home, he suspects that his wife Zoe has been sleeping with Simeon, the foundry owner. Horty goes to the bar, where his friends get him drunk and he starts telling an erotic fantasy of what happened with him and Marie, drawing a larger audience each night.",the chambermaid on the titanic,horty french foundry worker win contest sent see sailing titanic england marie saying chambermaid titanic cannot get room asks share room chastely awakens gone see sailing get photo return home suspect wife zoe sleeping simeon foundry owner horty go bar friend get drunk start telling erotic fantasy happened marie drawing larger audience night,olivier martinez aitana s nchez gij n romane bohringer didier bezace,bigas luna
Coriolanus,Drama Thriller,Gerard Butler Ralph Fiennes Lubna Azabal Ashraf Barhom Jessica Chastain,Ralph Fiennes,5.9,7.554799,"Caius Martius, aka Coriolanus, is an arrogant and fearsome general who has built a career on protecting Rome from its enemies. Pushed by his ambitious mother to seek the position of consul, Coriolanus is at odds with the masses and unpopular with certain colleagues. When a riot results in his expulsion from Rome, Coriolanus seeks out his sworn enemy, Tullus Aufidius. Together, the pair vow to destroy the great city.",coriolanus,caius martius aka coriolanus arrogant fearsome general built career protecting rome enemy pushed ambitious mother seek position consul coriolanus odds mass unpopular certain colleague riot result expulsion rome coriolanus seek sworn enemy tullus aufidius together pair vow destroy great city,gerard butler ralph fiennes lubna azabal ashraf barhom jessica chastain,ralph fiennes
Imaginary Heroes,Comedy Drama,Sigourney Weaver Ryan Donowho Emile Hirsch Jeff Daniels Michelle Williams,Dan Harris,6.3,2.85283,"Matt Travis is good-looking, popular, and his school's best competitive swimmer, so everyone is shocked when he inexplicably commits suicide. As the following year unfolds, each member of his family struggles to recover from the tragedy with mixed results.",imaginary heroes,matt travis good looking popular school best competitive swimmer everyone shocked inexplicably commits suicide following year unfolds member family struggle recover tragedy mixed result,sigourney weaver ryan donowho emile hirsch jeff daniels michelle williams,dan harris
High Heels and Low Lifes,Action Crime Comedy,Minnie Driver Mary McCormack Kevin McNally Danny Dyer Michael Gambon,Mel Smith,6.4,1.769593,A nurse eavesdrops with a friend on a cell phone conversation that describes a bank heist. She and the friend then conspire to blackmail the robbers for $2 million.,high heels and low lifes,nurse eavesdrops friend cell phone conversation describes bank heist friend conspire blackmail robber 2 million,minnie driver mary mccormack kevin mcnally danny dyer michael gambon,mel smith
World's Greatest Dad,Comedy Romance,Robin Williams Alexie Gilmore Daryl Sabara Geoff Pierson Henry Simmons,Bobcat Goldthwait,6.5,9.805551,"Robin Williams stars as Lance Clayton, a man who has learned to settle. He dreamed of being a rich and famous writer, but has only managed to make it as a high school poetry teacher. His only son Kyle (Daryl Sabara) is an insufferable jackass who wonï¿½ï¿½ï¿½t give his father the time of day. He is dating Claire (Alexie Gilmore), the schoolï¿½ï¿½ï¿½s adorable art teacher, but she doesnï¿½ï¿½ï¿½t want",world s greatest dad,robin williams star lance clayton man learned settle dreamed rich famous writer managed make high school poetry teacher son kyle daryl sabara insufferable jackass give father time day dating claire alexie gilmore school adorable art teacher want,robin williams alexie gilmore daryl sabara geoff pierson henry simmons,bobcat goldthwait
Severance,Horror Comedy Thriller,Danny Dyer Laura Harris Toby Stephens Tim McInnerny Babou Ceesay,Christopher Smith,6.4,12.898984,"Members (Danny Dyer, Laura Harris, Tim McInnerny) of the Palisades Defense Corp. sales group arrive in Europe for a team-building exercise. A fallen tree blocks the route, and they must hike to their destination. However, a psychotic killer lurks in the woods, and he has a horrible fate in mind for each of the co-workers.",severance,member danny dyer laura harris tim mcinnerny palisade defense corp sale group arrive europe team building exercise fallen tree block route must hike destination however psychotic killer lurks wood horrible fate mind co worker,danny dyer laura harris toby stephens tim mcinnerny babou ceesay,christopher smith
Edmond,Drama Thriller,William H. Macy Joe Mantegna Denise Richards Mena Suvari Bokeem Woodbine,Stuart Gordon,6.0,2.803642,"Seemingly mild-mannered businessman Edmond Burke visits a fortuneteller and hears a remark that spurs him to leave his wife abruptly and seek what is missing from his life. Encounters with strangers and unsavory people weaken the barriers encompassing his long-suppressed rage, until Edmond explodes in violence.",edmond,seemingly mild mannered businessman edmond burke visit fortuneteller hears remark spur leave wife abruptly seek missing life encounter stranger unsavory people weaken barrier encompassing long suppressed rage edmond explodes violence,william h  macy joe mantegna denise richards mena suvari bokeem woodbine,stuart gordon
Welcome to the Rileys,Drama,Kristen Stewart James Gandolfini Melissa Leo Joe Chrest Ally Sheedy,Jake Scott,6.4,6.085879,"Years after their teenage daughterï¿½ï¿½ï¿½s death, Lois and Doug Riley, an upstanding Indiana couple, are frozen by estranging grief. Doug escapes to New Orleans on a business trip. Compelled by urgencies he doesnï¿½ï¿½ï¿½t understand, he insinuates himself into the life of an underage hooker, becoming her platon",welcome to the rileys,year teenage daughter death lois doug riley upstanding indiana couple frozen estranging grief doug escape new orleans business trip compelled urgency understand insinuates life underage hooker becoming platon,kristen stewart james gandolfini melissa leo joe chrest ally sheedy,jake scott
Police Academy: Mission to Moscow,Comedy Crime,George Gaynes G. W. Bailey Leslie Easterbrook Michael Winslow David Graf,Alan Metter,4.1,11.946898,"The Russians need help in dealing with the Mafia and so they seek help with the veterans of the Police Academy. They head off to Moscow, in order to find evidence against Konstantin Konali, who marketed a computer game that everyone in the world is playing.",police academy  mission to moscow,russian need help dealing mafia seek help veteran police academy head moscow order find evidence konstantin konali marketed computer game everyone world playing,george gaynes g  w  bailey leslie easterbrook michael winslow david graf,alan metter
Blood Done Sign My Name,Drama Crime,Natalie Alyn Lind Michael Rooker Emily Alyn Lind Omar Benson Miller Lee Norris,Jeb Stuart,6.0,0.397341,A drama based on the true story in which a black Vietnam-era veteran is allegedly murdered by a local white businessman who is later exonerated. The plot focuses on the role of a local high school teacher and the civil unrest that followed the acquittal.,blood done sign my name,drama based true story black vietnam era veteran allegedly murdered local white businessman later exonerated plot focus role local high school teacher civil unrest followed acquittal,natalie alyn lind michael rooker emily alyn lind omar benson miller lee norris,jeb stuart
Cinco de Mayo: La Batalla,War History Drama,Christian Vazquez Liz Gallardo Angélica Aragón Kuno Becker Ginés García Millán,Rafa Lara,5.8,0.072085,"On May 5th, 1862, a few thousand Mexican soldiers put their lives on the line against the world's largest and most powerful army in one legendary battle for freedom and for Mexico.",cinco de mayo  la batalla,may 5th 1862 thousand mexican soldier put life line world largest powerful army one legendary battle freedom mexico,christian vazquez liz gallardo ang lica arag n kuno becker gin s garc a mill n,rafa lara
Elsa & Fred,Comedy Family Romance,Shirley MacLaine Christopher Plummer Chris Noth Marcia Gay Harden Scott Bakula,Michael Radford,6.2,2.849895,"Aged, embittered widower, Fred learns to enjoy life thanks to his elderly yet vibrant neighbor, Elsa. Upon learning Elsa is terminally ill, Fred takes her to the Fontana di Trevi in Rome in order to reenact her favorite scene from ï¿½ï¿½ï¿½La Dolce Vi",elsa   fred,aged embittered widower fred learns enjoy life thanks elderly yet vibrant neighbor elsa upon learning elsa terminally ill fred take fontana di trevi rome order reenact favorite scene la dolce vi,shirley maclaine christopher plummer chris noth marcia gay harden scott bakula,michael radford
"An Alan Smithee Film: Burn, Hollywood, Burn",Comedy,Jackie Chan Sylvester Stallone Whoopi Goldberg Eric Idle Ryan O'Neal,Alan Smithee Arthur Hiller,3.0,0.666218,"Filmmaker Alan Smithee finds himself the unwilling puppet of a potentially bad, big budget action film which he proceeds to steal the reels and leave the cast and crew in a frenzy.",an alan smithee film  burn  hollywood  burn,filmmaker alan smithee find unwilling puppet potentially bad big budget action film proceeds steal reel leave cast crew frenzy,jackie chan sylvester stallone whoopi goldberg eric idle ryan o neal,alan smithee arthur hiller
The Open Road,Comedy Drama Romance,Justin Timberlake Jeff Bridges Kate Mara Harry Dean Stanton Mary Steenburgen,Michael Meredith,4.8,1.388136,"Minor leaguer Carlton Garret takes an unexpected road trip to track down his estranged father, legendary baseball player Kyle Garret when Carltonï¿½ï¿½ï¿½s mother becomes sick. Once reunited, Carlton struggles to deal with the series of misadventures caused by his fatherï¿½ï¿½ï¿½s antics. Attempts at bonding come to a head as the mismatched duo make their way from Ohio back home to Houston to reunite",the open road,minor leaguer carlton garret take unexpected road trip track estranged father legendary baseball player kyle garret carlton mother becomes sick reunited carlton struggle deal series misadventure caused father antic attempt bonding come head mismatched duo make way ohio back home houston reunite,justin timberlake jeff bridges kate mara harry dean stanton mary steenburgen,michael meredith
The Good Guy,Comedy Romance,Alexis Bledel Colin Egglesfield Anna Chlumsky Andrew McCarthy Scott Porter,Julio DePietro,5.4,2.631688,"Ambitious young Manhattanite and urban conservationist Beth (Bledel) wants it all: a good job, good friends, and a good guy to share the city with. Of course that last one is often the trickiest of all. Beth falls hard for Tommy (Porter), a sexy, young Wall Street hot-shot. But just as everything seems to be falling into place, complications arise in the form of Tommy's sensitive and handsome co-worker Daniel (Greenberg). Beth soon learns that the game of love in the big city is a lot like Wall Street -- high risk, high reward and everybody has an angle.",the good guy,ambitious young manhattanite urban conservationist beth bledel want good job good friend good guy share city course last one often trickiest beth fall hard tommy porter sexy young wall street hot shot everything seems falling place complication arise form tommy sensitive handsome co worker daniel greenberg beth soon learns game love big city lot like wall street high risk high reward everybody angle,alexis bledel colin egglesfield anna chlumsky andrew mccarthy scott porter,julio depietro
Motherhood,Comedy Drama,Uma Thurman Minnie Driver Anthony Edwards David Schallipp Matthew Schallipp,Katherine Dieckmann,4.7,10.955567,"Motherhood is a comedy written and directed by Katherine Dieckmann, and stars Uma Thurman, Anthony Edwards and Minnie Driver. Shot on location in New Yorkï¿½ï¿½ï¿½s West Village, focuses on the dilemmas of motherhood, such as marriage, work, and self, shown in the trials and tribulations of one pivota",motherhood,motherhood comedy written directed katherine dieckmann star uma thurman anthony edward minnie driver shot location new york west village focus dilemma motherhood marriage work self shown trial tribulation one pivota,uma thurman minnie driver anthony edwards david schallipp matthew schallipp,katherine dieckmann
Free Style,Drama Family,Corbin Bleu Sandra Echeverría Madison Pettis,William Dear,5.8,0.122874,"Cale Bryant is determined to win a coveted spot on the Grand National motocross racing team. With the support of his loving mother, precocious little sister and new girlfriend, Cale proves against all odds that he has the heart, the willpower and the courage never to give up on his dream.",free style,cale bryant determined win coveted spot grand national motocross racing team support loving mother precocious little sister new girlfriend cale prof odds heart willpower courage never give dream,corbin bleu sandra echeverr a madison pettis,william dear
